Auteur,Coauteurs,Date,Langue,Titre,Summary
Prange Christiane,,01/12/2008,anglais,International Firms’ Innovation Signalling,"There has been a recent hype in the business world which centres on corporate governance and codes of conduct as well as the voluntary adoption of best principles to pursue sound business practice. Research to date has largely focused on providing insights into the contents of various codes of conduct while only a few studies have adopted a theory-based argument. To address this gap, we use the theoretical lens of signaling theory and presume that adopting codes of conduct can be understood as a clear market signal with positive implications for a company’s reputation. In addition, this research places a major focus on ‘innovation’ in codes of conducts - an issue which has largely been neglected in previous studies. We contentanalyzed 150 codes of conducts, taken from the web-sites of internationally operating companies and showed that 60 of them contain references to innovation. The mere number of mentions might already signify that innovation is likely to become part of industry-wide shared codes of conduct which potentially influence competitive action. However, future research should be built on a theoretical framework with testable propositions. Based on market signaling theory,we adress research issues as well as managerial implications."
Quittard-Pinon François,,01/12/2008,anglais,"Présentation et analyse critique du livre de M. Milevsky the Calculus of retirement income"", Cambridge University Press""","This book is devoted to a complete and self-contained introduction to modeling life insurance contracts and pensions from a financial point of view. A particular emphasis on retirement planning in a stochastic environment is put forward. The developments are presented in continuous-time financial economics, merging finance concepts and actuarial models. All the needed material to understand this..."
Dany Françoise,Guedri Hatt,01/11/2008,anglais,New insights into the link between HRM integration and organizational performance: the moderating role of influence distribution between HRM specialists and line managers.,"Unlike most of human resource management (HRM) research attempting to identify the set of practices that are likely to improve organizational performance, this paper focuses on two key aspects of the organization of HRM: 1) the integration of HRM and business strategy; and 2) the distribution of roles and influences between line managers LMs) and HRM specialists. Building on the resource-based view, we suggest that HRM integration is a necessary but not sufficient condition for HRM positively to impact organizational performance. An equally necessary condition is to provide HRM specialists with a prominent role compared to LMs in order to ensure the required proper quality of implementation of decided HRM policies. Using data from the Cranet Survey, we employed a series of structural equation models to test the moderating effect of the HRM/LM relationship on the link between HRM strategic integration and organizational performance. This technique allowed us to estimate measurement models and structural relations among latent variables, which reinforces to a great extent the robustness of our empirical findings compared to previous studies, which have relied merely on standard OLS regression analysis. Our empirical findings lead us to call for less emphasis on 'instrumental' approaches to researching HRM, emphasizing 'what practices must be implemented?', in favour of an approach which HRM examines the question of who is in charge of defining and implementing HRM practices."
Faÿ Eric,,01/11/2008,anglais,Derision and Management,"The aim of this paper is to demonstrate the usefulness of the concept of derision as developed by the French Lacanian psychoanalyst Denis Vasse, as a way of understanding why people exposed to—and profoundly affected by—violence through recurrent forms of managerial language, can suffer, become silent and find it difficult to voice their resistance and anger. The structure of derision identified in such a context is twofold: first the false promise that one will be treated as a subject, i.e. a person which otherness, subjective voice and desire are acknowledged (openness), and, second, the disappointment of this expectation with the suffering realization of being treated as an object, a resource or a number (closure). Derision provides a new critical understanding of a whole range of managerial and organizational control mechanisms such as appraisal, job interviews, quality certifications, benchmarking, etc."
Monin Philippe,RAO,01/11/2008,anglais,In-Focus or Out-Of-Focus: Univocal and Multivocal Identities in French Gastronomy,"Philippe Monin a participé au colloque célébrant le XXème anniversaire de SCANCOR (Scandinavian Consortium for Organizational Research), fondé par James March, puis dirigé par Woody Powell."
Versaevel Bruno,Vencatachellum,01/11/2008,anglais,Horizontal R and D cooperation and spillovers,"We test the theoretical prediction that inter-firm spillovers must necessarily be large for the profit differential between cooperation and non-cooperation in R and D to be monotone increasing with them. By using the French data from the 2002 Community Innovation Survey, we find that spillovers have a significant positive impact on the likelihood that competitors cooperate horizontally in R and D only if these spillovers exceed a threshold. Both the value and the significance of estimates increase with the flow of information firms report receiving from competitors."
Evans Daniel,KAPLAN,01/10/2008,anglais,PC Magazine's Essential Upgrade Guide,"The article offers suggestions on upgrading a home personal computer (PC). For those who are working on a Windows PC, it suggests downloading the latest Service Pack software and all of the subsequent updates. It suggests replacing the master drive with Norton Ghost 14.0, because the program allows a user to create a ghost image"" of his hard drive and then transfer everything to the new drive. It informs that the Dell SP2208WFP is a 22-inch monitor that offers great performance and comes with a 2-megapixel camera and a dual microphone array."""
Gates Stephen,Langevin,01/10/2008,anglais,Human resources's role in creating tools for aligning knowledge management with strategy,"Human capital measures (HCM) help organizations motivate and control human capital, one of the key success factors to achieve strategic objectives. These tools encourage innovation and knowledge creation and align human capital with strategy. Results confirm these hypotheses: 1/ the more advanced a company is in developing HC metrics, the higher the company’s performance; 2/ companies following a differentiation strategy are interested in innovation HCM, while those following a cost reduction strategy are interested in efficiency HCM; 3/ the more the HR function participates in strategy, the more advanced the company is in implementing HC measures. Implications for knowledge management include the critical role of HR professionals in creating innovative HCM and participating in strategy both to advance HCM implementation and to enhance innovation performance."
Guedri Zied,Eminet,01/10/2008,anglais,The impact of nomination committees on the characteristics of newly recruited directors,"This research paper examines the impact of the creation of nomination committees on the characteristics of newly recruited directors. We hypothesize a positive relationship between the creation of a nomination committee and the likelihood of appointment of directors having a reputation of being active"". We further suggest that this relationship is moderated by the composition of nomination committees (whether the CEO is a member of the committee and the percentage of non-executive directors who are members of the committee) and by board interlocks (more specifically, the number of direct and indirect network links between members of the nomination committee and newly recruited directors). Strong support for our hypotheses was drawn using a sample of 200 firms over the 2000-2005 period."""
Le Courtois Olivier,Randrianarivony,01/10/2008,anglais,On the Bankruptcy Risk of Insurance Companies,"The fall of AIG is another confirmation that the insurance business is not immune to bankruptcy. Contrary to the actuarial literature which postulates that insurance firms can survive forever, we believe that this is not the case, and that a realistic and business-oriented risk management approach needs to be designed in order to prevent the actual, finite-time, bankruptcy of insurance companies. In this article we model the surplus process of an insurance firm firstly by a stable L´evy process, secondly by a double exponential compound Poisson process. We compute finite-time survival and bankruptcy probabilities under such hypotheses. To achieve this, we make use of the Wiener-Hopf factorization and compute bankruptcy formulas written in terms of inverse Laplace transforms. The Abate and Whitt, and Gaver-Stehfest algorithms are used to obtain numerical estimations."
Nairn Agnès,,01/10/2008,anglais,"It does my head in... buy it, buy it, buy it!""""","Purpose – Against a background of social concern about the commercialisation of childhood, the purpose of the paper is to analyse the commercial activity on the favourite web sites of UK children and report the views of a sample of parents and children. // Design/methodology/approach – The paper reviews the theory underpinning current debate over risks to children from online commercialism and summarises the key provisions laid out in current international regulatory guidelines. The broad principles of protection from harm and deception are identified. This review is used to frame a research design encompassing web site observation and qualitative data collection from children and parents. // Findings – A great deal of advertising is poorly labelled and deceptively integrated into content. Most sites visited by children are created for an adult audience which means 25 percent of adverts were for dating, gambling, loans, surgery and age-restricted products. There was also evidence of pester power, dubious ‘‘free’’ offers and incitement to make impulse purchases using mobile phone credit. // Research limitations/implications – Surveys of commercial activity on children’s web sites must be ongoing as technology, advertising techniques and regulation change at a fast pace. // Practical implications – Companies which attract a child audience (inadvertently or not) should revise their strategy for selling advertising space. Advertisers should review otentially deceptive techniques such as advergames, product placements and embedded commercial content. ‘‘Wish lists’’ should be reviewed in the light of guidelines on pester power. Online payment methods available to children should be reviewed. // Originality/value – This is one of the first overall assessments of the commercial content of UK children’s web sites. // Keywords Internet, Children (age groups), Advertising, Regulation"
Prange Christiane,CELLARD,01/10/2008,anglais,International Ambidexterity,"Strategies of internationalization have long been in the focus of international business and global strategy research. While two of the major theories – process theory and new venture theory – have provided substantial input into selected types of internationalization processes, they have only selectively explained the contradictory results of international growth and profitability. Adopting a dynamic capability perspective, we argue that there are two classes of explorative and exploitative capabilities differentially linked to these output variables. Consistent with the dynamic capability view, we introduce a framework of third-order capabilities in order to maximize internationalization performance. Findings from five case studies are used to examine this framework."
Quittard-Pinon François,Randrianarivony,01/10/2008,anglais,How to price efficiently European options in some geometric Lévy processes models?,This paper presents the implementation to the class of jump diffusion models of the approach used by Boyarchenko and Levendorskiĭ (2002) in the case of exponential Lévy models. We show that this approach is more computationally efficient than the semi-closed form solutions formerly obtained by Kou (2002). A brand new model is then presented. It extends and generalizes Kou model.
Vaara Eero,TIENARI,01/10/2008,anglais,A Discursive Perspective on Legitimation Strategies in Multinational Corporations,"Few studies have examined legitimation in multinational corporations from a discursive perspective. To complement the existing institutional literature, we adopt a critical discourse analysis perspective that allows us to examine the microlevel processes of discursive legitimation. We provide an example of a media text - dealing with a production unit shutdown - to demonstrate how this perspective elucidates the various textual strategies used to legitimate multinational corporations' actions and their controversial consequences."
Bernard Carole,Le Courtois Quittard-Pinon,01/09/2008,anglais,Pricing derivatives with barriers in a stochastic interest rate environment,"This paper develops a general valuation approach to price barrier options when the term structure of interest rates is stochastic. These products’ barriers may be constant or stochastic, in particular we examine the case of discounted barriers (at the instantaneous interest rate). So, in practice, we extend Rubinstein and Reiner [1991. Breaking down the barriers. Risk 4(8), 28–35], who give closed-form formulas for pricing barrier options in a Black and Scholes context, to the case of a Vasicek modeling of interest rates. We are therefore in the situation of pricing barrier options semi-explicitly or explicitly (depending on the shape of the barrier) with stochastic Vasicek interest rates. The model is illustrated with a specific contract, an up and out call with rebate, hence a typical barrier option. This example is merely here to show how any standard barrier option can be priced and its Greeks be obtained in such a context. The validity of the approximation is analyzed and the sensitivity to the barrier level and to discretization schemes are also derived."
Cateura Olivier,Crespin-Mazet Poissonnier,01/09/2008,anglais,The mobilisation of political actors as a collective purchasing strategy in the European electricity market,"In a context of liberalisation, occurring in the European Union, French major electricity users developed a new collective purchasing strategy, based on political sponsorship. The mobilisation of non-business actors as a purchasing strategy, and in particular, the way a business firm managed to obtain the sponsorship of major political actors to defend its interests, retained our interest.<br /><br /> The purpose of this paper is to contribute at analyzing this political sponsorship process. It is based on the in-depth analysis of the purchasing strategy developed by large manufacturers and their professional union to secure the access to electricity and control price risks.<br /><br /> Based on the Industrial Network Approach and in particular, on the strategic positions and identities of actors in the network, our analysis contributes at understanding the process of managing and influencing relationships in turbulent markets and negotiations."
Cova Bernard,Salle,01/09/2008,anglais,From Scientific Controversies to Brand Communities,"We recently witnessed the rapid emergence of two research streams which came to the forefront as major themes of debates amongst scholars in marketing: CCT (Consumer Culture Theory) and SDL (Service Dominant Logic). Interestingly, these streams are - especially CCT - proposed as brands by their promoters. Thirty years ago, the IMP group did not use the same branding approach at its beginning. In this paper, we develop a comparative history of the three research streams (CCT, SDL and IMP) and we apply the same branding framework to what happened. An attempt to explain for a rise in branding is suggested based on the changing context of research activities over the last 30 years. The consequence of this analysis is a reassessment of IMP strategy and governance."
Guedri Zied,Hollandts,01/09/2008,anglais,Beyond Dichotomy: The Curvilinear Impact of Employee Ownership on Firm Performance,"Research Question/Issue: This study examines the impact of employee stock ownership and board employeerepresentation on firm performance. Research Findings/Results: Results drawn from a longitudinal analysis of a sample of 230 French firms over the period 2000–2005 provide support for an inverted U-shaped relationship between employee ownership and accounting-based performance measures. However, this relationship is not supported when a market-based performance measure is used.We also found that the inflection point of the inverted U-shaped relationship between employee ownership and firm performance does not depend upon the level of employee representation on the board. Theoretical Implications: This study addresses the inconsistency of results found so far in the literature examining the performance implications of employee ownership by proposing a theoretical framework and providing empirical support for the hypothesis suggesting that the relationship between employee ownership and firm performance is not linear, but indeed, has an inverted U-shape. Practical Implications: In a governance context characterized by a spectacular increase in employee ownership fostered by a pervasive support from both managers and government, our results suggest that performance implications of employee ownership are positive up to a certain point, after which the marginal effect of employee ownership on firm performance becomes negative. As a result, our findings suggest that managers and shareholders should be careful when launching and increasing the level of employee ownership to not go beyond specific inflection points."
Tornikoski Erno,,01/09/2008,anglais,Legitimating characteristics and firm emergence,"Most of the organizational theories take the existence of organizations for granted. Thus, attempts to understand success and failure at the nascent firm stage have often been conducted without an underlying theory to explain why some nascent firms succeed in becoming new firms while others do not. This study proposes that institutional theory offers an explanatory framework to explain firm emergence. Specifically, we argue that nascent firm becomes new firm thanks to resource endowments. The reliance on legitimating characteristics will grant a nascent firm an access to critical resources necessary for its emergence.We explore these ideas empirically and find support for our basic arguments. <br>Keywords: Entrepreneurship; firm emergence; nascent entrepreneurs; nascent firms; legitimacy; legitimating characteristics; institutional theory; PLS estimation."
Bruyaka Olga,,01/07/2008,anglais,Alliance portfolio diversity and market scope,"The present study aims at contributing to the on-going debate on the benefits and disadvantages of organizational diversity by exploring the following research questions: What role do alliance portfolio diversity(APD) and market scope(MS) play in small high-tech firms’ exits? and How do firms balance these types of diversity in their struggle for survival? Several reasons have motivated this research. First, among numerous factors explaining firms’ survival, APD and MS are notable, because of the oppositions in theoretical arguments and empirical evidence they are accompanied with. The present study aims at contributing to the on-going debate in strategy and entrepreneurship on the benefits and disadvantages of organizational diversity. Second, while economic and innovative outcomes have traditionally received the most interest from academic research dealing with alliances and alliance portfolios, APD and its impact on firms’ survival remained in the shadow of theoretical and empirical contributions. The present paper fills this gap by exploring the contradiction of positive and negative consequences of APD for small and young high-tech firms in terms of their exit. Third, in contrast to the literature on large firms few studies have addressed the theme of MS (i.e., diversification) in small entrepreneurial firms, either at a theoretical or empirical level (Iacobucci, 2005). In the present paper, diversification literature is revisited for small innovative firms in order to theoretically argue and empirically explore the role MS plays in these firms’ survival."
Introna Lucas,Ilharco Faÿ,01/07/2008,anglais,"Phenomenology, Organisation and Technology","This book is first and foremostly about phenomenology, but not phenomenology for its own sake. It is about what the phenomenological orientation can contribute to our attempts to make sense of complex contemporary phenomena such as the lived experience of technology and contemporary organisational practices. The purpose of this book is to turn back and orient ourselves towards the ongoing meaningful and subjectively lived experience of those phenomena ? to return to the (meaning of) things themselves. This was indeed the desire that underpinned the creation of the workgroup on Phenomenology, Organisation and Technology (POT), with its inaugural meeting in London in 2001; followed by POT 2 in Lisbon (2003), POT 3 in Rovaniemi (2004), POT 4 in Lyon (2005), POT 5 in Amsterdam (2006), and POT 6 in Oxford (2008). The chapters in this book were initially presented at these workshops. The book intertwines Phenomenology, Organisation and Technology in three ways. One of these, an enduring concern for the group, is the question of phenomenology itself ? Part I grapples with the question of what phenomenology is and how it might be used. This is a question that needs constant renewal as the phenomenological tradition develops and transforms itself. Part II proceeds by taking a phenomenological orientation towards a variety of organisational phenomena and Part III focuses on our condition of being immersed in an increasingly technologically textured life-world. In 'applyin' phenomenology to contemporary organisational and technological issues, this book suggests that phenomenology can still renew and reinvigorate questions central to our contemporary way of being in everyday organisational life. This is important, not only for management and organisation studies, but also for the phenomenological movement as a whole. The phenomenological project, that this book embodies, can be said to be twofold: (i) it aims at providing a path towards more realistic knowledge, knowledge closer to lived experience - this is our original contribution to management and organisation studies; and (ii) it aims at providing methods or views which are less stark (one may even say sanitised) than those based on pure 'evident objective reality' - this, we believe, is our social responsibility as researchers. In this sense, phenomenology clearly has something to say about the difficulties encountered early on in the 21st century."
JOHNSON Alan R.,Delmar,01/07/2008,anglais,New venture teams' creativity and performance,"Principal Topic: Several recent studies have drawn attention to the importance of team composition for the success of new business startups (Delmar & Shane, 2006; Ruef, Aldrich, & Carter, 2003). Teams are formed partly to more successfully explore and exploit large arrays of new products and services and potentially applicable business processes. This study extends previous research into new venture teams and focuses on members’ interaction processes with one another to exchange and critically assess information about their tasks (Jehn & Mannix, 2001). We propose a model that includes two focal constructs: debate (discussion, Stasser & Titus, 1985) and conflict (disagreement, Jehn, 1995) to explain both creativity and team performance (Lovelace, Shapiro, & Weingart, 2001; West, 2005). Previous research suggests that neither process alone is adequate to explain the group outcomes of interest, but there is some other research suggesting that an interaction may be at play between these two constructs (Crowell, 1986). Method and Hypotheses: We obtained an unusually powerful longitudinal sample of 60 teams with 6 members in each that worked together during the five months from January to June 2007. An analytic strength of this design is that repeated measures of teams to allow them to be used as their own control, and thus, allow causal inferences analogous to laboratory-experiment designs. The student’s completed a 100-item survey four times during their projects. The surveys asked students to self-report on their team's functioning on several multiple item scales. Professors also reported on teams' functioning and outcomes using a similar, but shorter, 37-item repeated survey. Results and Implications: Our research shows that both goal setting and creativity mediate the relations between both members’ task debates and task conflicts and team performance. We also show that time positively moderates an otherwise statistically insignificant relation between task debate and team performance, but perhaps surprisingly, there are no moderating effects of time on task conflict. The key findings are that: (1) new venture teams can overcome the often deleterious effects of conflict provided they do sufficient goal setting for members to know what a team is trying to achieve; and (2) effects of members’ debates their new product, service, and process ideas are cumulative, and therefore, new venture teams can benefit from returning to this process following each round of feedback from their task environment."
JOHNSON Alan R.,Delmar,01/07/2008,anglais,New Venture Teams' Creativity and Performance,"Several recent studies have drawn attention to the importance of team composition for the success of new business startups (Delmar & Shane, 2006; Ruef, Aldrich, & Carter, 2003). Teams are formed partly to more successfully explore and exploit large arrays of new products and services and potentially applicable business processes. This study extends previous research into new venture teams and focuses on members’ interaction processes with one another to exchange and critically assess information about their tasks (Jehn & Mannix, 2001). We propose a model that includes two focal constructs: debate (discussion, Stasser & Titus, 1985) and conflict (disagreement, Jehn, 1995) to explain both creativity and team performance (Lovelace, Shapiro, & Weingart, 2001; West, 2005). Previous research suggests that neither process alone is adequate to explain the group outcomes of interest, but there is some other research suggesting that an interaction may be at play between these two constructs (Crowell, 1986)."
Lassas-clerc Narjisse,Delmar Fayolle,01/07/2008,anglais,Entrepreneurship education initiatives,"Principal Topic: We propose and test a model of Entrepreneurship Education (EE) based on an educational evaluation research perspective (Chen, 1990, 2005; Patton, 1997) to assess the impact on the participants in terms of conative, cognitive and behavioral outcomes (Bloom’s revised taxonomy of educational objectives, Krathwohl, 2002; Anderson, 2006; Kraiger et al., 1993). As we are interested in the antecedents to an individual’s decision to become an entrepreneur, these dimensions are operationalized with respect to entrepreneurial cognitive literature (Boyd & Vozikis, 1994; Krueger & Brazeal, 1994; De Noble et al., 1999; Markman et al., 2002; Mitchell et al., 2007). Research has also recognized the importance of experience (Delmar & Shane, 2006) in entrepreneurship. Actual experience can link learning, thinking and doing. Field experiences will not only motivate students to learn current course materials but also increase their intrinsic interest in further learning. Thus, we pose three questions: Does active pedagogy provide greater improvement in perceived entrepreneurial competencies? How do entrepreneurial intentions vary when affected by experiential vs. cognitive learning? Is active pedagogy more efficient in terms of learning performance? Method: We applied a repeated survey design on a sample of 360 participants from two EE initiatives. We consider the first “EE1” as a cognitive learning program (focused on theory/knowledge acquisition) and the second “EE2” as experiential learning (students are asked to develop a business plan). Our key measures were extracted from the literature to the extent possible and we took into account students’ performance. We used multivariate analysis of co-variance to determine if significant differences exist between the two programs on the three dimensions. We also used regression analysis to determine the impact on the students and compare regression coefficients. Results & Implications: Our preliminary results show greater improvement in perceived competencies following EE1 and more importantly after EE2. Entrepreneurial intentions decrease after EE1 and remain stable after EE2. Further refinements are being made to test our hypotheses within subgroups and also to test mediating and moderating effects. We conduct a piecewise regression to test and measure variation in the effects of the two initiatives in terms of entrepreneurial interests and intentions (conative components), perceived competencies (cognitive) and learning performance (behavioral)."
LING Yan,SIMSEK LUBATKIN VEIGA,01/07/2008,anglais,The impact of transformational CEOs on the performance of small- to medium-sized firms,"Although theory suggests that CEOs who engage in transformational leadership should have a positive effect on firm performance, most empirical examinations using data drawn from larger firms have failed to find support for this linkage. Given that the organizational complexity associated with larger firms has been viewed as a central obstacle to establishing this important link, the authors examined the impact of CEO transformational leadership on firm performance in smaller, privately held firms. After first explaining why the less complex context of these firms provides a setting for transformational CEOs to play a more direct role in enhancing firm performance, they then further clarified the nature of this link by hypothesizing 3 contingencies that they argued are particularly salient: firm size, CEO founder status (founder or nonfounder), and CEO tenure. Results from a multisource survey of CEOs and their top management teams in 121 firms and 2 time-lagged measures of performance, 1 objective and 1 perceived, provided consistent support for these hypotheses."
Barbosa Saulo,OLIVEIRA ANDREASSI SHIRAISHI PANWAR,01/06/2008,anglais,A multi-country study on the influence of national culture over the intention to start a new business,"A multi-country study on the influence of national culture over the intention to start a new business Saulo Barbosa, Walter Marinho-de-Oliveira, Tales Andreassi, Guilherme Shiraishi and Kavita Panwar Abstract This paper explores how entrepreneurship culture can foster or hinder entrepreneurial intentions in specific regions of the globe. We assessed perceptions of culture along six dimensions: Opportunity seeking; Entrepreneurial traits; Capability beliefs; Responsibility taking; Entrepreneurial motivation; and Entrepreneurial fears. The aim of our analysis is, therefore, to investigate how each of these dimensions relates to entrepreneurial intentionality. Participants were 1015 business students across four countries: Brazil, France, Germany, and Russia. Our study provides first hand knowledge about the impact that contextual conditions produce on the intention to create new ventures and if they differ across regions of the world."
Kickul Jill,Barbosa IAKOVLEVA Smith,01/06/2008,anglais,Sailing Around the World,"Although cognitive theory has been adopted to explain entrepreneurial risk behavior, the complex interaction between culture and risk perception in stimulating or inhibiting entrepreneurship has yet to be fully explored. Although all of the cognitive explanations have received considerable empirical support, none of them focus on cultural differences that may affect, at the individual level, the attractiveness and the perceived riskiness of an entrepreneurial career path. Thus, our study aims to fill this gap in the literature, linking cultural differences and entrepreneurial risk perception. Implications for the interface between culture and risk are discussed."
Kickul Jill,Barbosa IAKOVLEVA Smith,01/06/2008,anglais,Sailing Around the World,"Although cognitive theory has been adopted to explain entrepreneurial risk behavior, the complex interaction between culture and risk perception in stimulating or inhibiting entrepreneurship has yet to be fully explored. Explanations of why some people start businesses and face uncertainty while others choose a “safer” career path have shifted during the years, from personal traits—such as risk propensity—to more cognitive variables—such as risk perception. Although all of these cognitive explanations have received considerable empirical support, none of them focus on cultural differences that may affect, at the individual level, the attractiveness and the perceived riskiness of an entrepreneurial career path. Thus, our study aims to fill this gap in the literature, linking cultural differences and entrepreneurial risk perception. We analyze how perceptions of the culture influence risk perceptions associated with the decision to start a new venture. We assess perceptions of culture along five dimensions: (1) Opportunity seeking; (2) Entrepreneurial traits; (3) Capability beliefs; (4) Responsibility taking; (5) Entrepreneurial motivation; and (6) Entrepreneurial fears. We also assess risk perception in a multidimensional way, using a scale created to measure the perceived risk of missing and sinking the boat (Dickson & Giglierano, 1986)."
Lipuma Joseph,HOEHN-WEISS,01/06/2008,anglais,Better in Pairs?,"Drawing on insights from the resource-based view and institutional theory, we examine how alliances with large industry partners, functional-type alliances, CVC and interactions between these different types of partnerships influence foreign market entry. Results show that legitimacy attained through allying with large industry partners is more related to foreign market entry than are the specialized knowledge resources provided by functional alliances. Moreover, CVC does not appear to be related to internationalization. We thus extend research on the identification of resources relating to and the effect of different types of partnerships on new-venture internationalization, and we provide insights for entrepreneurs considering foreign market entry."
CELLARD Sylvie,Prange,01/05/2008,anglais,How Do Age and Speed of Internationalization Affect Foreign Growth?,"Internationalization strategy has largely focused on stage theory and new venture theory. While both approaches have provided substantial insights into the process of internationalization, they have only marginally addressed resulting performance implications. Indeed, the two theories are at odds with patterns of foreign market entry regarding age and speed of internationalization. Drawing from empirical data in the retail industry, this research investigates the relationship between international age and internationalization speed and the resulting impact on growth. Our results suggest re-phrasing the concept of ambidexterity within an international context."
Forgues Bernard,"FORRAY,",01/05/2008,anglais,Running an Electronic Journal: Considerations and Possibilities,"Understanding the 'mystery' of editorial work and becoming an effective editor are highly relevant issues for most scholars. Opening the Black Box of Editorship explores the roles of editors and the processes of editorship in knowledge creation and dissemination. Written by leading scholars with strong editorial experience, this book will serve as a guide for Editors and scholars wishing to become Editors in management and behavioral sciences. It will help authors better understand how editors work and make decisions, and subsequently help researchers be more successful at publishing in refereed journals."
Langevin Pascal,,01/05/2008,anglais,Performance factors in virtual and colocated teams,"An extensive literature presents teams as a solution well suited to the new global and rapidly changing environment of the 21st century. However, the literature also indicates that the organization of teams, especially virtual teams, is not exempt from difficulties and suggests that certain conditions for success be implemented. This paper presents the empirical results of a study analyzing the conditions for success of virtual teams.Using survey data from 329 team members, the results show that trust and clear objectives are the two main conditions for success for virtual as well as colocated teams. The other performance factors differ depending on the type of teams and on the performance measurement used. These results have interesting implications for the implementing of control mechanisms in team-based organizations."
Le Courtois Olivier,Quittard-Pinon,01/05/2008,anglais,The optimal capital structure of the firm with stable Lévy assets returns,"This article builds a new structural default model under the assumption that assets returns follow dynamics displaying jumps of both signs. In essence, we expand the work of Hilberink and Rogers which is itself an extension of the Leland and Toft framework, but that deals only with negative jumps. We make use here of stable Lévy processes, and this enables us to compute the values of the firm, debt and equity. Theoretical credit spreads can also be obtained in our framework and prove to be consistent with the empirical credit spreads observed on the markets."
Fayolle Alain,,01/04/2008,anglais,Three types of learning processes in entrepreneurship education,"As previously stated by numerous researchers, there is no consensus regarding what entrepreneurship is. As a consequence, how could there be a consensus regarding what entrepreneurship stands for as a teaching subject? In this context, the objective of this paper is to address some key issues in entrepreneurship education by focusing on different types of learning processes, highlighting particularly three main and distinct economic and social objectives: training entrepreneurs or professionals in the field (skills), preparing entrepreneurial individuals (mindset) and educating entrepreneurship professors and researchers (theories). // Keywords: entrepreneurship education; learning process; entrepreneurial mindset; experiential learning; training; entrepreneurial skills."
Sitz Lionel,,01/04/2008,anglais,Beyond semiotics and hermeneutics,"Purpose – This paper contends that the central question in understanding consumers' experiences is not what is said (lexical analysis) or why (ideological analysis), but how consumers relate these experiences. The purpose is to present a method called discourse analysis (DA) to examine consumers' narratives. This interdisciplinary perspective advantageously complements the lexical, content analytic or semiotic approaches traditionally used in marketing.<br /><br /> Design/methodology/approach – In order to show the potential of DA as a method to analyze qualitative data, the paper reports on a research concerning consumers' shopping experiences. Data used stemmed from in-depth interviews that are analyzed through a critical DA informed by discursive psychology and foucauldian approaches.<br /><br /> Findings – DA allows marketers grasping the experiential value of shopping activities by depicting these experiences as ongoing constructions which meaning is constantly reinterpreted. DA also gives access to the various ways informants' manage their identity through narration. Hence, it challenges the simplistic dichotomy between consumers and producers and allows marketers to look at consumers as co-producers of their lived experience. Given the scope of the study, the obtained results are situated and further researches should be conducted to critically analyze various types of discourses, produced by different actors. This paper shows the potential of DA in analyzing qualitative material. DA could be usefully employed to grasp the thoughts and feelings of the consumers. Rather than solely conducting lexical and/or semiotic analyses, marketers could use DA as a complementary investigation tool.<br /><br /> Originality/value – Through DA, this paper suggests new ways for seeking knowledge about the consumers and the market. To this end, it presents DA principles and shows that it is too often neglected by marketers trying to analyze consumers' narratives."
Sitz Lionel,,01/04/2008,anglais,Beyond semiotics and hermeneutics,"Purpose – This paper contends that the central question in understanding consumers’ experiences is not what is said (lexical analysis) or why (ideological analysis), but how consumers relate these experiences. The purpose is to present a method called discourse analysis (DA) to examine consumers’ narratives. This interdisciplinary perspective advantageously complements the lexical, content analytic or semiotic approaches traditionally used in marketing. // Design/methodology/approach – In order to show the potential of DA as a method to analyze qualitative data, the paper reports on a research concerning consumers’ shopping experiences. Data used stemmed from in-depth interviews that are analyzed through a critical DA informed by discursive psychology and foucauldian approaches. // Findings – DA allows marketers grasping the experiential value of shopping activities by depicting these experiences as ongoing constructions which meaning is constantly reinterpreted. DA also gives access to the various ways informants’ manage their identity through narration. Hence, it challenges the simplistic dichotomy between consumers and producers and allows marketers to look at consumers as co-producers of their lived experience. Given the scope of the study, the obtained results are situated and further researches should be conducted to critically analyze various types of discourses, produced by different actors. This paper shows the potential of DA in analyzing qualitative material. DA could be usefully employed to grasp the thoughts and feelings of the consumers. Rather than solely conducting lexical and/or semiotic analyses, marketers could use DA as a complementary investigation tool. // Originality/value – Through DA, this paper suggests new ways for seeking knowledge about the consumers and the market. To this end, it presents DA principles and shows that it is too often neglected by marketers trying to analyze consumers’ narratives. // Keywords Consumer research, Consumer psychology, Narratives"
Mantere Saku,Vaara,01/03/2008,anglais,On the Problem of Participation in Strategy,"We still know little of why strategy processes often involve participation problems. In this paper, we argue that this crucial issue is linked to fundamental assumptions about the nature of strategy work. Hence, we need to examine how strategy processes are typically made sense of and what roles are assigned to specific organizational members. For this purpose, we adopt a critical discursive perspective that allows us to discover how specific conceptions of strategy work are reproduced and legitimized in organizational strategizing. Our empirical analysis is based on an extensive research project on strategy work in 12 organizations. As a result of our analysis, we identify three central discourses that seem to be systematically associated with nonparticipatory approaches to strategy work: “mystification,” “disciplining,” and “technologization.” However, we also distinguish three strategy discourses that promote participation: “self-actualization,” “dialogization,” and “concretization.” Our analysis shows that strategy as practice involves alternative and even competing discourses that have fundamentally different kinds of implications for participation in strategy work. We argue from a critical perspective that it is important to be aware of the inherent problems associated with dominant discourses as well as to actively advance the use of alternative ones."
